i,j
"{""name"":물엿}","{""name"":쌀엿}"
"{""name"":청양고추}","{""name"":태국고추}"
"{""name"":청양고추}","{""name"":홍청양고추}"
"{""name"":청양고추}","{""name"":페페론치노}"
"{""name"":햄버거빵}","{""name"":모닝빵}"
"{""name"":꽁치통조림}","{""name"":고등어}"
"{""name"":슈거파우더}","{""name"":백설탕}"
"{""name"":슈거파우더}","{""name"":설탕}"
"{""name"":감자전분}","{""name"":전분}"
"{""name"":생강즙}","{""name"":생강}"
"{""name"":콜리플라워}","{""name"":브로콜리}"
"{""name"":거봉}","{""name"":청포도}"
"{""name"":거봉}","{""name"":포도}"
"{""name"":이스트}","{""name"":베이킹파우더}"
"{""name"":백미}","{""name"":흑미}"
"{""name"":백미}","{""name"":찹쌀}"
"{""name"":백미}","{""name"":흑미}"
"{""name"":백미}","{""name"":맵쌀}"
"{""name"":목이버섯}","{""name"":버섯}"
"{""name"":대구}","{""name"":동태}"
"{""name"":새싹채소}","{""name"":베이비채소}"
"{""name"":새싹채소}","{""name"":어린잎채소}"
"{""name"":소시지}","{""name"":프랑크소시지}"
"{""name"":소시지}","{""name"":비엔나소시지}"
"{""name"":소시지}","{""name"":베이컨}"
"{""name"":콜라}","{""name"":사이다}"
"{""name"":김밥김}","{""name"":파래김}"
"{""name"":김밥김}","{""name"":재래김}"
"{""name"":골드키위}","{""name"":키위}"
"{""name"":페페론치노}","{""name"":청양고추}"
"{""name"":산딸기}","{""name"":딸기}"
"{""name"":참치캔}","{""name"":참치}"
"{""name"":오징어채}","{""name"":쥐포}"
"{""name"":가닥버섯}","{""name"":버섯}"
"{""name"":고추냉이}","{""name"":와사비}"
"{""name"":고추냉이}","{""name"":와사비}"
"{""name"":고추냉이}","{""name"":겨자}"
"{""name"":사과즙}","{""name"":매실원액}"
"{""name"":사과즙}","{""name"":매실액}"
"{""name"":사과즙}","{""name"":양파즙}"
"{""name"":연두부}","{""name"":두부}"
"{""name"":연두부}","{""name"":순두부}"
"{""name"":콩}","{""name"":팥}"
"{""name"":한라봉}","{""name"":천혜향}"
"{""name"":한라봉}","{""name"":오렌지}"
"{""name"":한라봉}","{""name"":귤}"
"{""name"":스테이크소스}","{""name"":우스터소스}"
"{""name"":스테이크소스}","{""name"":우스타소스}"
"{""name"":스테이크소스}","{""name"":돈까스소스}"
"{""name"":소고기다짐육}","{""name"":소고기양지}"
"{""name"":소고기다짐육}","{""name"":소고기등심}"
"{""name"":소고기다짐육}","{""name"":소고기안심}"
"{""name"":소고기다짐육}","{""name"":소고기}"
"{""name"":흑설탕}","{""name"":황설탕}"
"{""name"":흑설탕}","{""name"":갈색설탕}"
"{""name"":흑설탕}","{""name"":설탕}"
"{""name"":흑설탕}","{""name"":스테비아}"
"{""name"":흑설탕}","{""name"":백설탕}"
"{""name"":말린고추}","{""name"":고추}"
"{""name"":대패삼겹살}","{""name"":차돌박이}"
"{""name"":대패삼겹살}","{""name"":베이컨}"
"{""name"":대패삼겹살}","{""name"":돼지고기}"
"{""name"":대패삼겹살}","{""name"":우삼겹}"
"{""name"":대패삼겹살}","{""name"":삼겹살}"
"{""name"":매실청}","{""name"":양파청}"
"{""name"":매실청}","{""name"":매실}"
"{""name"":매실청}","{""name"":매실액}"
"{""name"":집된장}","{""name"":시판된장}"
"{""name"":집된장}","{""name"":쌈장}"
"{""name"":집된장}","{""name"":된장}"
"{""name"":닭안심}","{""name"":닭순살}"
"{""name"":닭안심}","{""name"":닭}"
"{""name"":닭안심}","{""name"":닭가슴살}"
"{""name"":닭안심}","{""name"":닭다리}"
"{""name"":애느타리버섯}","{""name"":버섯}"
"{""name"":애느타리버섯}","{""name"":느타리버섯}"
"{""name"":사골국물}","{""name"":다시육수}"
"{""name"":사골국물}","{""name"":사골육수}"
"{""name"":옥수수}","{""name"":옥수수콘}"
"{""name"":도넛}","{""name"":베이글}"
"{""name"":갈치}","{""name"":삼치}"
"{""name"":갈치}","{""name"":고등어}"
"{""name"":양파즙}","{""name"":사과즙}"
"{""name"":양파즙}","{""name"":매실원액}"
"{""name"":양파즙}","{""name"":매실액}"
"{""name"":휘핑크림}","{""name"":생크림}"
"{""name"":리코타치즈}","{""name"":치즈}"
"{""name"":열무}","{""name"":얼갈이}"
"{""name"":피칸버터}","{""name"":땅콩버터}"
"{""name"":쫄면}","{""name"":냉면사리}"
"{""name"":대하}","{""name"":새우}"
"{""name"":비엔나소시지}","{""name"":프랑크소시지}"
"{""name"":비엔나소시지}","{""name"":소시지}"
"{""name"":흑임자}","{""name"":참깨}"
"{""name"":겨자}","{""name"":연겨자}"
"{""name"":겨자}","{""name"":씨겨자}"
"{""name"":겨자}","{""name"":고추냉이}"
"{""name"":겨자}","{""name"":와사비}"
"{""name"":콩기름}","{""name"":식용유}"
"{""name"":콩기름}","{""name"":기름}"
"{""name"":커피}","{""name"":정종}"
"{""name"":고기순대}","{""name"":순대}"
"{""name"":라임}","{""name"":자몽}"
"{""name"":전분물}","{""name"":녹말}"
"{""name"":우거지}","{""name"":근대}"
"{""name"":땅콩버터}","{""name"":버터}"
"{""name"":땅콩버터}","{""name"":피칸버터}"
"{""name"":밀크초콜릿}","{""name"":크런치초콜릿}"
"{""name"":밀크초콜릿}","{""name"":화이트초콜릿}"
"{""name"":밀크초콜릿}","{""name"":초콜릿}"
"{""name"":김밥햄}","{""name"":햄}"
"{""name"":된장}","{""name"":시판된장}"
"{""name"":된장}","{""name"":집된장}"
"{""name"":된장}","{""name"":쌈장}"
"{""name"":된장}","{""name"":고추장}"
"{""name"":된장}","{""name"":쌈장}"
"{""name"":돼지고기앞다리살}","{""name"":돼지고기}"
"{""name"":메밀면}","{""name"":국수면}"
"{""name"":닭날개}","{""name"":닭봉}"
"{""name"":닭날개}","{""name"":닭순살}"
"{""name"":닭날개}","{""name"":닭}"
"{""name"":닭날개}","{""name"":닭가슴살}"
"{""name"":닭날개}","{""name"":닭다리}"
"{""name"":식빵}","{""name"":호밀식빵}"
"{""name"":식빵}","{""name"":모닝빵}"
"{""name"":흑미}","{""name"":백미}"
"{""name"":흑미}","{""name"":찹쌀}"
"{""name"":흑미}","{""name"":백미}"
"{""name"":흑미}","{""name"":맵쌀}"
"{""name"":멸치육수}","{""name"":육수}"
"{""name"":토마토소스}","{""name"":토마토케첩}"
"{""name"":토마토소스}","{""name"":스파게티소스}"
"{""name"":토마토소스}","{""name"":스파게티소스}"
"{""name"":팽이버섯}","{""name"":버섯}"
"{""name"":스파게티소스}","{""name"":토마토소스}"
"{""name"":스파게티소스}","{""name"":토마토소스}"
"{""name"":스파게티소스}","{""name"":피자소스}"
"{""name"":피망}","{""name"":파프리카}"
"{""name"":피망}","{""name"":청피망}"
"{""name"":녹두콩앙금}","{""name"":팥앙금}"
"{""name"":파슬리}","{""name"":셀러리}"
"{""name"":미림}","{""name"":생강술}"
"{""name"":미림}","{""name"":청주}"
"{""name"":미림}","{""name"":소주}"
"{""name"":미림}","{""name"":맛술}"
"{""name"":우엉}","{""name"":연근}"
"{""name"":녹말}","{""name"":전분물}"
"{""name"":돼지고기}","{""name"":소고기}"
"{""name"":돼지고기}","{""name"":돼지고기앞다리살}"
"{""name"":돼지고기}","{""name"":돼지고기목살}"
"{""name"":돼지고기}","{""name"":돼지갈비}"
"{""name"":돼지고기}","{""name"":돼지앞다리}"
"{""name"":돼지고기}","{""name"":돼지등심}"
"{""name"":돼지고기}","{""name"":대패삼겹살}"
"{""name"":돼지고기}","{""name"":삼겹살}"
"{""name"":돼지고기}","{""name"":수육용삼겹살}"
"{""name"":돼지고기}","{""name"":떡갈비}"
"{""name"":땅콩}","{""name"":피스타치오}"
"{""name"":땅콩}","{""name"":호두}"
"{""name"":땅콩}","{""name"":피칸}"
"{""name"":땅콩}","{""name"":이이스아몬드}"
"{""name"":땅콩}","{""name"":아몬드}"
"{""name"":매실}","{""name"":올리고당}"
"{""name"":매실}","{""name"":매실청}"
"{""name"":매실}","{""name"":매실원액}"
"{""name"":매실}","{""name"":매실액}"
"{""name"":호밀식빵}","{""name"":식빵}"
"{""name"":호밀식빵}","{""name"":모닝빵}"
"{""name"":근대}","{""name"":우거지}"
"{""name"":근대}","{""name"":아욱}"
"{""name"":불린쌀}","{""name"":쌀밥}"
"{""name"":불린쌀}","{""name"":쌀}"
"{""name"":불린쌀}","{""name"":쌀}"
"{""name"":기름}","{""name"":콩기름}"
"{""name"":기름}","{""name"":식용유}"
"{""name"":실파}","{""name"":쪽파}"
"{""name"":실파}","{""name"":대파}"
"{""name"":실파}","{""name"":파}"
"{""name"":돼지등심}","{""name"":돼지고기}"
"{""name"":조림간장}","{""name"":간장}"
"{""name"":어묵}","{""name"":종합어묵팩}"
"{""name"":어묵}","{""name"":볼어묵}"
"{""name"":어묵}","{""name"":사각어묵}"
"{""name"":참치}","{""name"":참치캔}"
"{""name"":참치}","{""name"":생연어}"
"{""name"":참치}","{""name"":연어캔}"
"{""name"":참치}","{""name"":연어}"
"{""name"":떡볶이 양념}","{""name"":고추장}"
"{""name"":와사비}","{""name"":고추냉이}"
"{""name"":와사비}","{""name"":고추냉이}"
"{""name"":와사비}","{""name"":겨자}"
"{""name"":갑오징어}","{""name"":오징어몸통}"
"{""name"":갑오징어}","{""name"":오징어}"
"{""name"":청피망}","{""name"":파프리카}"
"{""name"":청피망}","{""name"":피망}"
"{""name"":연겨자}","{""name"":씨겨자}"
"{""name"":연겨자}","{""name"":겨자}"
"{""name"":브로콜리}","{""name"":콜리플라워}"
"{""name"":바지락}","{""name"":꼬막}"
"{""name"":바지락}","{""name"":모시조개}"
"{""name"":메밀국수}","{""name"":잔치국수면}"
"{""name"":삼겹살}","{""name"":목살}"
"{""name"":삼겹살}","{""name"":돼지고기}"
"{""name"":삼겹살}","{""name"":우삼겹}"
"{""name"":삼겹살}","{""name"":대패삼겹살}"
"{""name"":참깨}","{""name"":흑임자}"
"{""name"":참깨}","{""name"":들깨}"
"{""name"":갈색설탕}","{""name"":백설탕}"
"{""name"":갈색설탕}","{""name"":흑설탕}"
"{""name"":갈색설탕}","{""name"":설탕}"
"{""name"":안심}","{""name"":등심}"
"{""name"":고등어자반}","{""name"":고등어}"
"{""name"":들깨}","{""name"":참깨}"
"{""name"":들깨}","{""name"":깨}"
"{""name"":배}","{""name"":배즙}"
"{""name"":소금}","{""name"":꽃소금}"
"{""name"":소금}","{""name"":염간장}"
"{""name"":소금}","{""name"":맛소금}"
"{""name"":청포도}","{""name"":거봉}"
"{""name"":제육볶음양념}","{""name"":고추장}"
"{""name"":씨겨자}","{""name"":연겨자}"
"{""name"":씨겨자}","{""name"":겨자}"
"{""name"":국간장}","{""name"":참치액}"
"{""name"":국간장}","{""name"":멸치액젓}"
"{""name"":국간장}","{""name"":새우젓}"
"{""name"":국간장}","{""name"":간장}"
"{""name"":무피클}","{""name"":단무지}"
"{""name"":무피클}","{""name"":피클}"
"{""name"":짜장육수}","{""name"":짜장분말}"
"{""name"":닭다리}","{""name"":닭순살}"
"{""name"":닭다리}","{""name"":닭}"
"{""name"":닭다리}","{""name"":닭안심}"
"{""name"":닭다리}","{""name"":닭가슴살}"
"{""name"":닭다리}","{""name"":닭날개}"
"{""name"":매실원액}","{""name"":매실}"
"{""name"":매실원액}","{""name"":사과즙}"
"{""name"":매실원액}","{""name"":양파즙}"
"{""name"":매실원액}","{""name"":올리고당}"
"{""name"":매실원액}","{""name"":매실액}"
"{""name"":천일염}","{""name"":꽃소금}"
"{""name"":지방우유}","{""name"":두유}"
"{""name"":지방우유}","{""name"":우유}"
"{""name"":볼어묵}","{""name"":종합어묵팩}"
"{""name"":볼어묵}","{""name"":사각어묵}"
"{""name"":볼어묵}","{""name"":어묵}"
"{""name"":양조간장}","{""name"":간장}"
"{""name"":양조간장}","{""name"":맛간장}"
"{""name"":양조간장}","{""name"":진간장}"
"{""name"":샐러드채소}","{""name"":쌈채소}"
"{""name"":다크초콜릿}","{""name"":크런치초콜릿}"
"{""name"":다크초콜릿}","{""name"":녹인초코}"
"{""name"":다크초콜릿}","{""name"":누텔라}"
"{""name"":다크초콜릿}","{""name"":초콜릿}"
"{""name"":막걸리}","{""name"":동동주}"
"{""name"":북어포}","{""name"":황태포}"
"{""name"":생연어}","{""name"":참치}"
"{""name"":생연어}","{""name"":훈제연어}"
"{""name"":생연어}","{""name"":연어캔}"
"{""name"":생연어}","{""name"":연어}"
"{""name"":배즙}","{""name"":배}"
"{""name"":돼지고기목살}","{""name"":돼지고기}"
"{""name"":설탕}","{""name"":슈거파우더}"
"{""name"":설탕}","{""name"":갈색설탕}"
"{""name"":설탕}","{""name"":흑설탕}"
"{""name"":설탕}","{""name"":백설탕}"
"{""name"":설탕}","{""name"":자일리톨}"
"{""name"":설탕}","{""name"":스테비아}"
"{""name"":고등어}","{""name"":고등어자반}"
"{""name"":고등어}","{""name"":꽁치통조림}"
"{""name"":고등어}","{""name"":삼치}"
"{""name"":고등어}","{""name"":갈치}"
"{""name"":유자청}","{""name"":레몬청}"
"{""name"":정종}","{""name"":커피}"
"{""name"":오이피클}","{""name"":단무지}"
"{""name"":오이피클}","{""name"":피클}"
"{""name"":황설탕}","{""name"":흑설탕}"
"{""name"":태국고추}","{""name"":청양고추}"
"{""name"":닭강정}","{""name"":닭가슴살}"
"{""name"":닭강정}","{""name"":치킨}"
"{""name"":피클}","{""name"":무피클}"
"{""name"":피클}","{""name"":단무지}"
"{""name"":피클}","{""name"":오이피클}"
"{""name"":치킨}","{""name"":닭강정}"
"{""name"":치킨}","{""name"":닭가슴살}"
"{""name"":치킨}","{""name"":닭순살}"
"{""name"":사이다}","{""name"":스프라이트}"
"{""name"":사이다}","{""name"":콜라}"
"{""name"":불닭소스}","{""name"":칠리소스}"
"{""name"":들기름}","{""name"":참기름}"
"{""name"":돼지앞다리}","{""name"":돼지고기}"
"{""name"":칠리소스}","{""name"":핫소스}"
"{""name"":칠리소스}","{""name"":불닭소스}"
"{""name"":슈레드 치즈}","{""name"":치즈}"
"{""name"":포도씨유}","{""name"":카놀라유}"
"{""name"":포도씨유}","{""name"":올리브유}"
"{""name"":포도씨유}","{""name"":식용유}"
"{""name"":간장}","{""name"":조림간장}"
"{""name"":간장}","{""name"":양조간장}"
"{""name"":간장}","{""name"":멸치액젓}"
"{""name"":간장}","{""name"":새우젓}"
"{""name"":간장}","{""name"":만능간장}"
"{""name"":간장}","{""name"":맛간장}"
"{""name"":간장}","{""name"":집간장}"
"{""name"":간장}","{""name"":국간장}"
"{""name"":간장}","{""name"":집간장}"
"{""name"":적채}","{""name"":양배추}"
"{""name"":햄}","{""name"":김밥햄}"
"{""name"":햄}","{""name"":통조림햄}"
"{""name"":햄}","{""name"":스팸}"
"{""name"":깨소금}","{""name"":호두}"
"{""name"":깨소금}","{""name"":검은깨}"
"{""name"":자일리톨}","{""name"":스테비아}"
"{""name"":자일리톨}","{""name"":설탕}"
"{""name"":로즈마리}","{""name"":페퍼민트}"
"{""name"":로즈마리}","{""name"":애플민트}"
"{""name"":낙지}","{""name"":오징어}"
"{""name"":낙지}","{""name"":주꾸미}"
"{""name"":조청}","{""name"":물엿}"
"{""name"":조청}","{""name"":쌀엿}"
"{""name"":블루베리}","{""name"":아로시아}"
"{""name"":생닭}","{""name"":닭}"
"{""name"":꼬막}","{""name"":바지락}"
"{""name"":묵은김치}","{""name"":김치}"
"{""name"":우스터소스}","{""name"":돈까스소스}"
"{""name"":우스터소스}","{""name"":스테이크소스}"
"{""name"":스테비아}","{""name"":자일리톨}"
"{""name"":스테비아}","{""name"":설탕}"
"{""name"":스테비아}","{""name"":흑설탕}"
"{""name"":스테비아}","{""name"":백설탕}"
"{""name"":돼지호박}","{""name"":애호박}"
"{""name"":새송이버섯}","{""name"":버섯}"
"{""name"":새송이버섯}","{""name"":미니새송이버섯}"
"{""name"":새송이버섯}","{""name"":송이버섯}"
"{""name"":새송이버섯}","{""name"":양송이버섯}"
"{""name"":천혜향}","{""name"":한라봉}"
"{""name"":천혜향}","{""name"":오렌지}"
"{""name"":천혜향}","{""name"":귤}"
"{""name"":오징어}","{""name"":주꾸미}"
"{""name"":오징어}","{""name"":낙지}"
"{""name"":오징어}","{""name"":갑오징어}"
"{""name"":오징어}","{""name"":오징어몸통}"
"{""name"":청사과}","{""name"":사과}"
"{""name"":요거트}","{""name"":플레인요거트}"
"{""name"":핫소스}","{""name"":칠리소스}"
"{""name"":오트밀 바게트}","{""name"":바게트}"
"{""name"":쌈}","{""name"":쌈장}"
"{""name"":쌈}","{""name"":고추장}"
"{""name"":쌈}","{""name"":초고추장}"
"{""name"":가래떡}","{""name"":조랭이떡}"
"{""name"":가래떡}","{""name"":밀떡}"
"{""name"":가래떡}","{""name"":떡볶이떡}"
"{""name"":가래떡}","{""name"":떡국떡}"
"{""name"":양파청}","{""name"":매실청}"
"{""name"":차돌박이}","{""name"":대패삼겹살}"
"{""name"":차돌박이}","{""name"":베이컨}"
"{""name"":발사믹소스}","{""name"":발사믹식초}"
"{""name"":발사믹소스}","{""name"":발사믹크림}"
"{""name"":해물믹스}","{""name"":새우}"
"{""name"":해물믹스}","{""name"":칵테일새우}"
"{""name"":키위}","{""name"":골드키위}"
"{""name"":키위}","{""name"":다래}"
"{""name"":통깨}","{""name"":깨}"
"{""name"":짜장분말}","{""name"":짜장육수}"
"{""name"":목살}","{""name"":삼겹살}"
"{""name"":떡볶이떡}","{""name"":밀떡}"
"{""name"":떡볶이떡}","{""name"":가래떡}"
"{""name"":떡볶이떡}","{""name"":떡국떡}"
"{""name"":양배추}","{""name"":방울양배추}"
"{""name"":양배추}","{""name"":적채}"
"{""name"":양배추}","{""name"":알배기배추}"
"{""name"":양배추}","{""name"":배춧잎}"
"{""name"":양배추}","{""name"":배추}"
"{""name"":자색고구마}","{""name"":고구마}"
"{""name"":녹인초코}","{""name"":다크초콜릿}"
"{""name"":녹인초코}","{""name"":누텔라}"
"{""name"":녹인초코}","{""name"":초콜릿}"
"{""name"":연어캔}","{""name"":생연어}"
"{""name"":연어캔}","{""name"":참치}"
"{""name"":연어캔}","{""name"":훈제연어}"
"{""name"":연어캔}","{""name"":연어}"
"{""name"":당면}","{""name"":천사채}"
"{""name"":당면}","{""name"":중국당면}"
"{""name"":닭순살}","{""name"":치킨}"
"{""name"":닭순살}","{""name"":닭다리}"
"{""name"":닭순살}","{""name"":닭날개}"
"{""name"":닭순살}","{""name"":닭}"
"{""name"":닭순살}","{""name"":닭가슴살}"
"{""name"":닭순살}","{""name"":닭안심}"
"{""name"":닭봉}","{""name"":닭날개}"
"{""name"":시판된장}","{""name"":집된장}"
"{""name"":시판된장}","{""name"":쌈장}"
"{""name"":시판된장}","{""name"":된장}"
"{""name"":가쓰오부시}","{""name"":메밀소바장국}"
"{""name"":가쓰오부시}","{""name"":진간장}"
"{""name"":떡국떡}","{""name"":가래떡}"
"{""name"":떡국떡}","{""name"":떡볶이떡}"
"{""name"":올리브유}","{""name"":카놀라유}"
"{""name"":올리브유}","{""name"":포도씨유}"
"{""name"":올리브유}","{""name"":식용유}"
"{""name"":도시락김}","{""name"":김자반}"
"{""name"":육수}","{""name"":멸치육수}"
"{""name"":꽃게}","{""name"":대게}"
"{""name"":꽃게}","{""name"":홍게}"
"{""name"":레몬껍질}","{""name"":레몬}"
"{""name"":시나몬가루}","{""name"":시나몬스틱}"
"{""name"":꽈리고추}","{""name"":고추}"
"{""name"":맵쌀}","{""name"":찹쌀}"
"{""name"":맵쌀}","{""name"":쌀}"
"{""name"":맵쌀}","{""name"":흑미}"
"{""name"":맵쌀}","{""name"":백미}"
"{""name"":새우살}","{""name"":손질새우}"
"{""name"":토마토}","{""name"":방울토마토}"
"{""name"":치즈}","{""name"":슈레드 치즈}"
"{""name"":치즈}","{""name"":리코타치즈}"
"{""name"":치즈}","{""name"":피자치즈}"
"{""name"":치즈}","{""name"":체다치즈}"
"{""name"":치즈}","{""name"":파마산치즈}"
"{""name"":닭}","{""name"":생닭}"
"{""name"":닭}","{""name"":닭순살}"
"{""name"":닭}","{""name"":닭안심}"
"{""name"":닭}","{""name"":닭가슴살}"
"{""name"":닭}","{""name"":닭날개}"
"{""name"":닭}","{""name"":닭다리}"
"{""name"":새우젓}","{""name"":멸치액젓}"
"{""name"":새우젓}","{""name"":액젓}"
"{""name"":새우젓}","{""name"":간장}"
"{""name"":새우젓}","{""name"":국간장}"
"{""name"":방울양배추}","{""name"":양배추}"
"{""name"":베이킹파우더}","{""name"":이스트}"
"{""name"":소고기}","{""name"":돼지고기}"
"{""name"":소고기}","{""name"":소고기양지}"
"{""name"":소고기}","{""name"":소고기다짐육}"
"{""name"":소고기}","{""name"":소고기안심}"
"{""name"":소고기}","{""name"":소고기등심}"
"{""name"":소고기}","{""name"":떡갈비}"